Chromosome,3DMax,LorDG,ShNeigh2,Chromosome3D,HSA,ChromeBat
1,0.814102492,0.777194373,0.698225414,0.766,0.741951816,0.801017424
2,0.813621567,0.777538274,0.747572568,0.777,0.754669462,0.78773319
3,0.837803087,0.770454362,0.720008492,0.795,0.78290956,0.826161388
4,0.884940199,0.878532687,0.86791376,0.861,0.871315788,0.864169052
5,0.877041883,0.862151096,0.841163842,0.852,0.851475568,0.864943758
6,0.859534182,0.829818105,0.772470936,0.826,0.813031772,0.835211755
7,0.830665735,0.798790212,0.76254506,0.788,0.788436774,0.823470031
8,0.881768757,0.861752213,0.831940359,0.852,0.853537768,0.871247459
9,0.87626118,0.840972832,0.746826564,0.803,0.521889059,0.837529292
10,0.856736255,0.824618349,0.761287418,0.825,0.804888328,0.852688073
11,0.841230581,0.808859457,0.69028024,0.808,0.791621627,0.838961086
12,0.851892957,0.819727285,0.767227128,0.83,0.805482936,0.855582767
13,0.867383432,0.840077056,0.78372401,0.791,0.822652737,0.868645744
14,0.881965904,0.813496136,0.620457587,0.8,0.799115946,0.889928286
15,0.871448337,0.830323238,0.689074742,0.807,0.80661521,0.86966815
16,0.866727134,0.788029869,0.662148418,0.788,0.806632018,0.870228275
17,0.83017034,0.766565944,0.602634335,0.76,0.72770912,0.831012149
18,0.856242545,0.817562874,0.744066759,0.815,0.800800322,0.860491375
19,0.861872089,0.815141153,0.597254155,0.827,0.802493463,0.866458315
20,0.877643617,0.82283662,0.642785561,0.843,0.828791598,0.890406712
21,0.920786384,0.878305902,0.792785159,0.863,0.913868944,0.943462868
22,0.872886391,0.763239881,0.633150342,0.809,0.830617256,0.893232298
23,0.878742565,0.874455762,0.854162122,0.804,0.866742995,0.867553795